2025-11-27 16:51:08 | INFO    | cube.optim |  [2] Using breakdown (breakdown=0.0125(20543)_6 < equ=0.0221_6)
2025-11-27 16:51:08 | INFO    | cube.optim |  [4] Using breakdown (breakdown=0.003124_6 < equ=0.0055543_6)
2025-11-27 16:51:08 | INFO    | cube.optim |  lower bound: 0.035454330(20543)_6 (< 0.11052411_6)
2025-11-27 16:51:08 | INFO    | cube.optim |  upper bound: 0.0520415(05432)_6 (< 0.11052411_6)
2025-11-27 16:51:08 | INFO    | cube.optim | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube.optim | Optimization result:
2025-11-27 16:51:08 | INFO    | cube.optim |  status: pruned
2025-11-27 16:51:08 | INFO    | cube.optim |  result: ['0.035454330(20543)_6', '0.0520415(05432)_6']
2025-11-27 16:51:08 | INFO    | cube.optim |  details: too small, pruned
2025-11-27 16:51:08 | INFO    | cube.optim | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube | Status: pruned
2025-11-27 16:51:08 | INFO    | cube | ✂️ Pruned
2025-11-27 16:51:08 | DEBUG   | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | Partition logger initialized: x6eq2mx5&x5eqx4px3_0.1
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | Partition x6eq2mx5&x5eqx4px3_0.1 initialized (i_min=4)
2025-11-27 16:51:08 | INFO    | cube | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube | Partition [2/3] (ID: x6eq2mx5&x5eqx4px3_0.1, i_min=4)
2025-11-27 16:51:08 | INFO    | cube | ----------------------------------------
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | Partition x6eq2mx5&x5eqx4px3_0.1 Solver Assertions:
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [1] x6 > x5
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [2] x5 > x4
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [3] x4 > x3
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [4] x3 > x2
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [5] x2 > x1
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [6] x1 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [7] x6 == 2*x5
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [8] x5 == x4 + x3
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [9] x6 - x4*3 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | Partition x6eq2mx5&x5eqx4px3_0.1 Members (7 total):
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 | ========================================
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [0] =: x6 == x5*2
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [1] >: x6 - (x5*1 + x4*1) > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [2] >: x6 - x5*1 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [3] >: x6 - x4*3 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [4] >: x6 - x4*2 > 0
2025-11-27 16:51:08 | INFO    | cube.x6eq2mx5&x5eqx4px3.partition.x6eq2mx5&x5eqx4px3_0.1 |   [5] >: x6 - x4*1 > 0
